moh_area,avg_temperature_2m_mean,avg_temperature_2m_max,avg_precipitation_sum,avg_relative_humidity_2m_mean,temp_range,heat_humidity_index
MOH-Dankotuwa,28.099435626721178,29.42536049670515,9.380976650059598,80.82826146114779,2.8527673772261464,21.493052976162883
MOH-Dehiattakandiya,28.81761425951535,35.01923235000681,1.9176366647416967,72.67524475852363,12.26039081714627,19.81311873043996
MOH-Dehiovita,30.648904420191947,36.90286880603734,16.222371636601007,75.44146141301522,12.384203205787992,21.876359185302434
MOH-Dehiwala,28.52322436215831,29.09712008759891,6.063936656584975,80.10029898231224,1.4086104335046543,21.62007830729691
MOH-Deniyaya/Kotapola,29.112104699870116,34.71956064357994,33.01488660356629,79.5179697643273,11.11883289169922,21.90544895579114
MOH-Deraniyagala,30.986527806573417,37.07408124097589,18.295521632522647,75.15029680402274,12.067836557983403,22.03160159381051
MOH-Devinuwara,29.392116948551585,31.93690906826879,21.923534125385515,78.20767806750682,5.218392728171531,21.750788342692843
MOH-Dickwella,29.392116948551585,31.93690906826879,21.923534125385515,78.20767806750682,5.218392728171531,21.750788342692843
MOH-Divulapitiya,29.090487955357904,31.922624716929104,3.057869162498598,77.91651345851436,5.76861652372942,21.44718810469235
MOH-Dodangoda PS,28.508846713482743,29.168441953728507,3.9907866606633355,80.3914635913047,1.5736294336072303,21.68795443843723
MOH-Doluwa,27.64699213693065,34.79088250970953,0.984719166576959,68.59873640721155,14.062121020133203,17.938864817852465
MOH-Echchalampattu,28.982806404787755,34.862204375839134,0.05180166841222127,75.87825928285831,11.64152142819682,20.80740708574402
MOH-Egodauyana,28.52322436215831,29.09712008759891,6.063936656584975,80.10029898231224,1.4086104335046543,21.62007830729691
MOH-Eheliyagoda,30.878745713005536,36.988475023506616,9.48463414985568,75.58709467386585,12.10913944657384,22.08299352167389
MOH-Ehetuwewa,29.75125653644754,36.17506612169527,1.192034166169123,70.20019271302449,12.700569853592581,19.756393677986978
MOH-Elapatha,29.87331573569325,35.561438357501835,15.185796638640188,77.91651345851436,11.283851891801797,22.024232185286703
MOH-Ella,21.729332919463715,26.414359081096716,1.295691665965205,66.70611549240613,9.248264541061564,13.708339495679578
MOH-Elpitiya,28.51598526632166,29.15415760238883,5.027361658624155,81.84738854897581,1.532422822146377,22.087260021345568
MOH-Embilipitiya,28.87512485421761,34.83373556372858,29.59418911029558,75.00466354317213,11.792772798769251,20.490716451023612
MOH-Eravur,29.169514751574646,33.72065495549036,0.05180166841222127,75.7326260220077,9.083245540958988,20.901076146717664
MOH-Galagedara,30.577116719811855,34.67670758956089,6.271251656177139,72.38408014953116,8.230519004256237,20.93831105294321
MOH-Galaha,25.435046186843618,32.59328999591246,0.984719166576959,68.59873640721155,14.062121020133203,16.503478576037956
MOH-Galenbindunuwewa,28.882263407056527,35.361657219883924,0.05180166841222127,73.5488404982098,12.796846983174014,20.0968409586065
MOH-Galewela,28.99718405346332,36.04660685020695,0.984719166576959,70.49145923472574,13.897102020030626,19.335755596720254
MOH-Galgamuwa,29.42811134173937,35.98956933541704,0.881061666780877,70.49145923472574,12.96186598327659,19.623065563247064
MOH-Galigamuwa,30.160567080211372,36.63176580228983,11.661441645573401,75.44146141301522,12.796846983174014,21.527863734847706
